id,carat,cut,color,clarity,depth,table,x,y,z,price
168704,0.38,Premium,I,VS1,60.9,60.0,4.67,4.7,2.85,700
46090,1.01,Good,E,VS2,63.1,55.0,6.37,6.4,4.02,6931
129884,0.51,Ideal,G,VVS2,61.2,56.0,5.16,5.18,3.17,2243
83536,2.11,Ideal,J,VS2,61.9,55.0,8.29,8.23,5.11,15690
74774,0.81,Premium,F,VS1,60.2,60.0,6.07,6.02,3.65,3670
10481,0.7,Very Good,E,SI2,61.7,56.0,5.72,5.79,3.55,2239
85746,0.54,Ideal,E,SI1,61.0,55.0,5.24,5.27,3.21,1625
123042,0.7,Premium,F,SI1,61.4,59.0,5.71,5.74,3.51,2165
58011,0.31,Ideal,H,SI1,62.2,56.0,4.36,4.38,2.72,558
144835,0.56,Ideal,F,VS2,61.9,55.0,5.27,5.32,3.28,1605
186617,0.7,Ideal,I,VVS2,62.8,54.0,5.64,5.67,3.56,2513
81671,0.54,Ideal,D,SI2,62.0,57.0,5.19,5.21,3.23,1368
54625,0.79,Ideal,G,VS2,61.5,56.0,5.99,5.93,3.66,3121
74415,1.13,Ideal,G,VS2,61.9,56.0,6.66,6.66,4.12,7657
81430,0.54,Premium,G,VS1,61.1,58.0,5.23,5.27,3.2,1882
94863,1.03,Ideal,E,SI2,60.4,56.0,6.57,6.54,3.96,5430
107538,0.3,Premium,G,VVS2,61.6,58.0,4.28,4.32,2.65,679
118472,1.25,Ideal,G,SI2,62.3,57.0,6.89,6.84,4.28,5815
124541,0.74,Ideal,I,SI2,61.6,55.0,5.82,5.85,3.59,2134
14228,1.39,Premium,H,VS2,62.2,58.0,7.19,7.1,4.46,9502
140955,0.59,Ideal,G,VS1,61.5,57.0,5.33,5.36,3.3,1963
172308,1.0,Premium,G,SI2,62.8,59.0,6.35,6.27,3.96,4032
39491,0.31,Ideal,D,SI1,61.9,57.0,4.37,4.35,2.7,571
141902,0.26,Ideal,H,VS2,61.2,57.0,4.12,4.15,2.53,391
12035,0.34,Very Good,F,SI1,59.8,61.0,4.5,4.53,2.7,641
62819,1.01,Very Good,E,SI2,63.1,58.0,6.38,6.45,4.05,3801
178988,0.53,Ideal,D,VS2,61.6,56.0,5.28,5.23,3.21,1915
41738,1.02,Premium,F,SI2,60.8,59.0,6.49,6.45,3.93,4481
99298,0.5,Good,E,SI1,64.1,58.0,5.05,5.02,3.23,1253
9485,1.51,Ideal,H,VS1,62.7,57.0,7.27,7.33,4.57,10761
134272,0.71,Ideal,G,SI2,60.6,56.0,5.76,5.83,3.51,2027
154360,2.0,Ideal,H,VS2,60.6,57.0,8.11,8.17,4.94,17803
110382,1.01,Ideal,F,VS1,61.2,58.0,6.45,6.47,3.95,7333
154222,0.3,Ideal,F,SI1,62.0,55.0,4.32,4.35,2.69,655
152255,0.29,Very Good,G,VVS2,63.4,56.0,4.22,4.25,2.69,541
13062,1.7,Premium,G,SI2,61.9,59.0,7.64,7.61,4.72,10763
57414,0.24,Very Good,F,VS1,61.1,58.0,3.96,3.99,2.45,419
14330,0.41,Very Good,F,VS1,62.8,57.0,4.73,4.77,2.98,901
171067,1.26,Ideal,G,VS2,61.8,57.0,7.0,6.97,4.32,8346
20351,0.3,Ideal,G,VVS1,62.3,57.0,4.32,4.29,2.68,1013
190150,0.3,Ideal,I,VS1,60.8,56.0,4.34,4.32,2.63,476
